review_id,Airline,Reviews,gt_sentiment,gt_categories
3209,Emirates,"Gatwick to Ahmedabad via Dubai. Emirates economy class is going down hill recently. A small warm food plate serviced from Gatwick to Dubai, which was alright. Not as good as some other cheaper airlines. Before there used to be 2 cabin crew pushing the trolley and serving the food, now it was only 1. Only 2 drinks service throughout the 6.5 hour flight, just 2. Rest of the time you have to ring the bell or go to the gallery to ask for drinks. The head purser wondering around the cabin with a tablet, the while flight. Why they keep needing to look at a tablet in a flight I don't know. Another cabin crew sitting down on a laptop for at least an hour. Why cabin crew need to use a laptop on a flight I don't know. The service has gone downhill, besides ICE nothing else is good about Emirates anymore. I won't be flying them anymore.",,
2118,Qatar Airways,We traveled Colombo to Philadelphia via Doha. Food was excellent with a wide selection and good quality. Correct temperature in all servings. Staff in all four flights were very attentive and caring. Seats from Doha to Colombo was most uncomfortable.,,
381,Singapore Airlines,"London to Christchurch via Singapore. London to Singapore great service, enjoyable trip.  I cannot say the same about Singapore to Christchurch. I had a 12 hour stopover in Singapore, loved the  Silver Kris Lounge. Had a long walk to gate D10 but was good to shake off a little fatigue, but I was more than ready to sleep. I was most impressed with the 19K cubicle but saw no bedding. After takeoff I asked a hostess where do I get a blanket?"" she reach up and seemed to grasp one from somewhere. I had a fitful night and Journey with just a blanket and the cushion that was on the seat and could not settle. When the lights came on for breakfast I saw the guy across from me, fold up his bedding and seat! I asked the hostess why she had not showed me how to operate the bed, she replied ""its on the Video""! I told her as I could not operate the TV system how would I know that? I told her I would lay a complaint, I also talked to the man I assumed was in charge, he admitted he had seen me trying to rest/sleep, and assumed I slept like that! I have flown other airlines in Premium economy that took care of the elderly so much better, but as I decided this would be the last visit to the UK to see my sister before she forgets me, she has dementia, I decided it treat myself to business class return home, I had heard good things previously. I have to say, this was a very disappointing end,to a sad journey for me. I certainly would not recommend this airline.",,
7424,Cathay Pacific Airways,"Flew Cathay Pacific Airways from Paris CDG to Kansai via Hong Kong. Still a fantastic Business Class Service, despite a fall in food/beverages quality. Ground staff & crews always pleasant and efficient. The most comfortable business class seat of all Asian airlines, even more comfortable with A350. IFE has improved a lot, as well as connectivity. CDG & HKG lounges still offer high quality food and drinks. However on both flights main course/Breakfasts had no taste at all, and drinks lack personality.",,
5267,Turkish Airlines,"Singapore to Istanbul. As far as I am concerned, this is by far the worst long haul business class experience you can get globally. The Boeing 777-300ER business class for Turkish Airlines is configured 2-3-2, and not everyone has aisle access, people jump on top of each other. There is no privacy as seats are laid the same way as economy. In short, this ""business class"" offering is the equivalent of premium economy of airlines like Cathay Pacific, Singapore or Qatar Airways. Do avoid.",,
2705,All Nippon Airways,"Jakarta to Tokyo Haneda. Best airline experience I've had of 2019, Crew was extremely friendly, food and beverages were excellent, The IFE was nice, But one improvement, The Wi-Fi, At first I was super excited as I connected, but it did not work at all. Other than that, this airline is awesome.",,
3653,Emirates,"Venice to Melbourne via Dubai. I am now on my way back to Australia and yet again experiencing the worst customer service ever from Emirates. Just before my departure I had received an offer to upgrade from economy to business for part of my return trip from Dubai to Melbourne for AU$ 1157 . As my leg had not yet healed ( did my way into Europe on a wheelchair) and although feeling much better, I thought I could do this effort and upgrade so that I could be more comfortable. Before my departure I tried several times to do the online upgrade but unsuccessfully, as every time i filled everything and clicked “upgrade” a message came out that “the system was down”! (Note that my card was more than capable of covering the cost hence it was not a payment issue ) Tried again before I had to catch my first flight but then I had to board and had to let go. Arrived in Dubai I went to the service desk where there was only single person available to do the ticketing service and was stuck serving a person for over 20 minutes! I had another person before me and I knew I would never had time to wait so I went to another side of the service desk to ask for assistance. The lady said no one else could assist and also that she knew for sure I could not upgrade with that offer anymore as I had already started the first leg. When I explained that I did try many times to do the upgrade online before my flight but the Emirates website did not work and a message came out that the system was down (so it was not my fault) they just said they could not do anything and if I wanted to upgrade the price would not have been the same! On the plane I asked again. They had quite a few empty seats in business but they asked almost 4 times as much as the offer I had in my email (asked around 3.500 US dollars for one leg upgrade on the plane! While my offer was 1157 Australian dollars for the same which equals to us$ 864) I am so angry and disappointed but, if you want to see this from a marketing point of view Emirates has lost both in image and in money. In fact those seats have remained empty and Emirates has now another very upset and angry customer who has been loyal for years. Emirates has gone so downhill lately which is unbelievable.",,
2129,Qatar Airways,"Comfortable seats, delightful staff but in flight service was slow There was one flight attendant to serve the drinks and meals to a large section of the plane, each drink is poured by hand. We received no pre meal drink. My first meal was lukewarm and the second cold, my mid flight snacks were not warm enough - breakfast before landing was hot. The entertainment system is not a patch on emirates. The staff are the best thing about Qatar Airways but they need more of them. Flew business back and a lovely comfortable cabin but slow service. All flights were extremely punctual with efficient boarding.",,
3196,Emirates,"Chennai to Newark via Dubai. Due to COVID 19, they have cancelled one part of itinerary and leave remaining so passengers can call and cancel the ticket and they can charge cancellation fees. I postponed the ticket once with extra money and now again they cancelled one part of itinerary and asked to cancel for huge cancellation fees saying the government cancelled and not airline so they charge. Really? This is how emirates value the customers? Please do not encourage these airline when they don't value the customers at all. I will never travel in emirates. Thanks to you emirates.",,
7962,Korean Air,"London to Tokyo via Seoul. First time travelling on Korean Air - really enjoyed it. The flight crew were very friendly, professional and efficient. If I wanted cup noodles with a coke (with refills) gee did I get it quick and with pleasantry. Really thought they were great!",,
5519,Turkish Airlines,"Durban to Houston via Istanbul. We had booked our flights from Durban to Houston (return) which included a stopover of 2 days in Istanbul whereby our journey from Istanbul to Houston was on 16th December 2018 on flight number TK33 at 2.30pm. We had requested wheelchair service in advance. We checked-in on time at Istanbul Airport and waited more than 1 hour for the wheelchair assistant who never came and  had to walk by ourselves to the gate. By the time we reached the gate we were denied boarding as they said that we are late. As a result, we had to buy another ticket on Turkish Airlines for 18th December 2018 at the airport which cost us TRY 21519 and this was through no fault of our own. The problem is that the wheelchair assistance never turned up which is the main reason for us being late. We have flown with other airlines and never faced this issue. It was our first time with Turkish Airlines and has been a terrible experience.",,
6128,Air France,"We had to attend a family wedding in Kinshasa and travelled as a family group. The flight was delayed and we were stuck on the tarmac for 3 hours with no adequate food or drinks. Truly awful experience. Then they lost our bags containing clothes and gifts for the wedding. The bags arrived 3 days late damaged. They have not compensated us for the damage! They had a major server breakdown and communication via the website was impossible. We were told they lost 15,000 bags that day. The office in Kinshasa could not access any systems to register our loss but told us they would register on our behalf. Then once the process began back in the UK they would not process our claim without our bank details and then transferred a minimal amount without our consent. They said that when we gave our bank details we accepted their offer. Untrue! It has been a nightmare! We have tried to be reasonable but have been met with complete indifference. Worst travel experience in over 40 years of flying!",,
894,Singapore Airlines,"Full flight Melbourne to Singapore. Older 777 plane. Chose two seats together, there are not a lot of these, but they were great. You expect very little in economy these days as most airlines have made economy a miserable experience for passengers. Singapore Airlines still treats economy passengers with respect and I was so impressed. We boarded in sections in Melbourne, it was monitored carefully with some held back as they tried to ""skip the queue"" as some always do. Left a little late but not by much. the hot towels before you leave and just before you arrive are a nice touch most airlines have stopped. The seat was wider than most economy. We got a refreshing drink and peanuts shortly after takeoff. Two hours in was a meal. I chose non seafood so my seat was stickered accordingly, I had a fantastic lunch. Quality tender chicken breast in a lovely light soy gravy with perfectly cooked vegetables, hot crispy bread roll, crackers, cheese, water, dessert and real cutlery, Drinks though didn't come out until everyone else got their lunch and I did sit with my tray there till everyone else was done too. No big deal. Entertainment was probably the only thing that they fall down on with not the greatest sound quality. Had a nap after lunch, then a mushroom and chicken pie before landing, All in all the Melb-Singapore flight was pretty well near perfect and we even landed half hour early. Singapore to Hanoi was on an older plane again. Seats had some marks in them, pocket torn and window very scratched. The service was good still, but not quite as good as on the ex Melb flight. The entertainment system again not the greatest but watchable. The food too, another lunch seemed to be lacking both in quality and quantity but was still pretty good. All in all, I thought for economy flights, Singapore provides a better experience than I have had in years.",,
7023,Cathay Pacific Airways,"Brisbane to London Heathrow via Hong Kong with Cathay Pacific Airways. Considering the premium seats cost almost 4 times the economy seats, I was really disappointed with the overall experience. Meal was exactly the same as what you receive in economy, as is the amenity kit. When compared to PE in Qantas or BA, this lacks a lot (you get meals and drink service more in line with business class on those carriers). The only advantage if you are a OneWorld Emerald or Sapphire is getting access to the Pier Lounge at Hong Kong Airport, otherwise if you don't have status and are looking for an upgrade other than just some extra leg room then I wouldn't recommend this. WIFI also didn't work on all 4 return legs of my flight, despite there being a WIFI symbol on the walls. You would be better off spending your money on China Southern Airlines business class seat for a similar cost (and get a lie flat seat) or paying for economy on one leg & business on the other (with any airline). TIP: Also avoid the front row aisle seats in premium - I don't really have long legs (5ft6') and yet the air hostesses still knocked my feet every time they came through the door from business, waking me up at least 4 times despite my legs not sticking out on the aisle.",,
5408,Turkish Airlines,"Kathmandu to Bordeaux via Istanbul. Several problems: baggage with 3 days delay when returning from Nepal. No compensation. I had to pick up my luggage myself at the airport on a Sunday in the late afternoon. Flight from Kathmandu with more than 8 hours late (already 2 hours one way). The flight duration displayed on the outward and return journey is not the right one. It takes 2 hours more. I did not find the staff pleasant considering the late conditions. by buying the ticket, the return flight was to last 17h. In the end, it lasted 36 hours. The price of the ticket being more expensive than another company, the total duration and the rest make it better to avoid Turkish Airlines.  Plusieurs problèmes : bagages avec 3 jours de retard au retour du Népal. Pas de dédommagements. J'ai du aller chercher mes bagages moi même à l'aéroport un dimanche en fin d'après midi. Vol au départ de Kathmandou avec plus de 8 h de retard (déjà 2 h à l'aller). La durée de vol affichée à l'aller et au retour n'est pas la bonne. Il faut compter 2 heures de plus. Je n'ai pas trouvé que le personnel était agréable compte tenu des conditions de retard. en achetant le billet, le vol retour devait durer 17h. Au final, il a duré 36 h. Le prix du billet étant plus cher qu'une autre compagnie, la durée totale et le reste font qu'il vaut mieux éviter turkish Airlines",,
3870,Emirates,"Emirates customer service has certainly dropped their game since I last flew with them a few years ago. An overnight flight from Barcelona to Dubai - simple enough request for a toothbrush kit at end of flight to be advised they no longer do this. This is despite being given a kit only 2 weeks prior on a flight from Sydney to Dubai (to which they answered they do as its 'long haul'). Also, the beef option for the dinner meal had far too much salt in it, could not eat it. If you're not an Emirates frequent flyer it seems they do little to try to get you to become one. I'll stick to Qatar Airways in future when flying from Australia abroad, far superior service.",,
3949,Emirates,"Dubai to Düsseldorf with Emirates. I got a free last-moment upgrade from Economy to Business. Flight experience was great, crew very attentive and helpful. Free floating Veuve Clicquot, very well mixed drinks and food choice. The full flat beds were extremely comfortable and the space was more than enough (I couldn't see my neighbor). Also I liked the idea of having your own minibar next to you. But I missed an amenity kit. This was a little bit of a negative point. Also there was a little bit of confusion during check-in. A lot of business passengers did not find their assigned waiting zone. The free Wifi is great albeit quite slow. Massive entertainment program like no other. All in all, a great experience.",,
6780,Air France,"I flew with Air France Sofia to Paris return for a short business trip. I was pleasantly surprised that they have started serving hot meals (comparing to a flight a took with them again to Paris in May last year). The overall experience is satisfying for the price, especially considering the aircrew service . It should also be pointed out that both flights were right on time without any delay.",,
4823,Turkish Airlines,"Dublin to Dubai via Istanbul. Travelled economy, no hassle with either flight. It was great to be able to travel again. The only issue was with a tight connection coming and going, we left Dublin 30 minutes late so had to run a half marathon to get to the gate for our flight to Dubai. On the return leg, we had more time but had to go through security screening again so had to leg it again. It would have been nice to have had a chance to have a coffee. Istanbul Airport is big, in fact so big that getting around it a challenge for the able, must be a struggle for anyone who isn't in good physical shape.",,
6488,Air France,"Paris to Vienna. My recent flight with AF was a pleasure from beginning to end. Easy to use IOS app both at purchase and check in. Airport check in was smooth with no line at CDG T2F. Security line was longish, but not too bad. Hand luggage allowance is generous (12 kg). Boarding was fast and ordered, divided by zones. Economy new seat is great in terms of comfort. Cabin was clean. Breakfast consisted of pain du chocolate and coffee/tee/soft drink which was ok for 80 min flight. New entertainment system was a huge surprise to me. You log in to Air France onboard wifi and get internet for messaging for free, plus flight info plus variety of tv shows and movies, also for free. USB port is at every seat. Arrived on time, bag was on the belt in 15 min. Miles arrived to my account next morning. Flight price was 44 euro. Brilliant.",,
1116,Qatar Airways,"In Doha no business class bus was given, just a separate economy bus. Wi fi was not available. I eat gluten free, when I asked for my meal it took an hour before receiving it. Suggestion to have details of the meal available on screen as I was sure what I would get exactly, just that it was chicken. It was delicious though. Friendly helpful staff except that tables don’t get cleared quickly.",,
5910,Turkish Airlines,Istanbul to Frankfurt. We started just on time from Istanbul. We appreciated the professional service from flight attendants. They were smiling and amicable. We ordered extra meal and it was delicious. The seats are confartable and the Entertainment Programm was good. Thank you very much for everthing and looking forward to flying with you again soon!,,
2512,Qatar Airways,"I flew Qatar Airways on a multi-city flight of Lagos to Atlanta via Doha, returning to Lagos from New York JFK. The 2nd leg was most enjoyable especially with the A350-900. Ample space, good seat reclining and pitch. The IFE and wifi on board was superb. The mood lighting was intriguing and finally the cabin crew was warm and friendly. Sadly the Doha to Lagos was a serious downgrade after such an enjoyable 12hrs 1st leg. I've recommended this airline as the value of the service exceeds the cost and long hours connecting to ones destination.",,
3780,Emirates,"Boston to Colombo round trip via Dubai. First of all my transit at Dubai airport 14 hours. When i was booking my ticket I asked if I will get Hotel and meals, They said Yes But at the airport their ground people said we stop giving hotel and meals from November onwards. When I was was flying on January 2017 my transit was 20 hours, I didn't get hotel at that time too - the reason they said my ticket cost not reached $1000. I was sitting on the chair for 14 hours. The flight was miserable. Meal they were serving is horrible. They gave menu, so I decided to ask scrambled eggs, they said we don't have, Lunch I asked Fish that was in the menu they said they don't have, gave me Turkey which i don't eat. I am so disappointed.",,
1942,Qatar Airways,Incheon to Johannesburg via Doha. The service is exceptional! Cabin crew are really friendly and helpful. The meals are delicious and toiletry bags are provided so you have everything you could need during the flight. My favorite airline by far.,,
3282,Emirates,"Dubai to London. Emirates has to follow international standards. We were delayed for 45 minutes. Not a single explanation or word of apology was given by the captain. This is unacceptable. We arrived in London 22 minutes late and not a word of comment. Just ""It's a nice sunny morning in London."" This approach to ignoring the delay is absurd. Do they think if they say nothing, the problem doesn't exist. Emirates has to learn how to be punctual or learn how to apologise for delays.",,
7889,EVA Air,"Flew EVA Air from London to Bangkok on Elite class. This is not my first time using EVA as they are my preferred choice when flying to BKK or Taipei. The online booking is pretty straight forward but I wish they allow passengers to edit their profile and input passport information prior to check in. I checked in online 24 hours before departure and dropped my luggage at Heathrow. There is never a queue for Elite class passengers which is a plus. Boarding was on time. The plane was 8 years old and has just been refurbished - new seats for Elite class as well as new entertainment system. Personally I think the entertainment system is decent - the screen is large with good resolution, but the programme is limited, and the flight map is not interactive.  I prefer the old seat as it felt more comfortable. However the advantage of the new seat is that the chunky entertainment box has now been removed. They have upgraded the amenity pack but it was just the packing that is changed. Service on this flight was the biggest disappointment. The crew serving my area did not smile once - not a typical EVA standard. Food and wine were ok although I sensed some cost cutting this time. The flight was pretty smooth and we landed on time.",,
4530,Turkish Airlines,"We missed our connection to Istanbul because the plane arrived at the gate too late and the journey between gate A and gate F where we were to take our second flight is the furthest in the airport with the addition of passage to again, to safety. We came running to the gate and they closed the plane door in front of us. The plane remained after 20 minutes on the tarmac without moving! We went straight to the office so we could catch another flight. Not only, supposedly, no more flights possible on the same day but only two days later! The only possible flight on the same day that we could take was in business class which we had to pay for without any possible compensation even though I am a platinum member with Star Alliance! A shame! And what's more, our screens didn't work during the flight! Avoid this airline at all costs!",,
3027,Emirates,"We chose to book a more expensive flight due to shorter transit time in Dubai. However, just a few weeks before our flight, Emirates, without giving us any options, just changed our flight date and a much longer transit time in Dubai, no offer for a hotel overnight stay. In ZH, they have no office, nor could we contact their phone no. It is a frustrating and a sad first time try with Emirates.",,
1349,Qatar Airways,We traveled as a family from US to India and back. I have to acknowledge that we had a pleasant trip both ways. The customer care was beyond excellent and the cabin crew were the most respectful and friendly staff we have ever met in all these years of our air travel. The food was absolutely incredible and the choices were simply amazing. The Hamad international airport is simply awesome and the best we have ever seen! We did not even feel that we had a 15 hour flight - it was that comfortable and relaxing! The one minus point was the crammed aircrafts from US to Doha and Doha to India (Boeing 777-300ER). It was very congested and crowded.,,
382,Singapore Airlines,"Singapore to Johannesburg. Daylight flight on A350 in premium economy. Checking-in and boarding was quick and efficient, with a warm welcome on-board, as is the norm with Singapore Airlines. There is generous locker space in premium economy, sufficient to allow blankets, pillows etc not immediately required to be stowed. Drinks and nuts were served shortly after take off, with champagne offered, but unfortunately served in a tiny plastic faux champagne glass. We had ordered lunch from book the cook. The quality was good, but would be so much better if served on proper plates and not in foil dishes. It is unfortunate that Singapore provide only economy service in premium economy. Drinks were offered with the meal, but again served in small plastic tumblers. Wine was simply red or white, and of mediocre quality. No refills were offered, and when trays were collected some time later a requested refill never materialised. With a good choice of entertainment and a comfortable seat the 11 hour flight seemed to pass quite quickly. The crew came round on a number of occasions with water and fruit, and a second hot meal was provided 2 hours before landing. Overall it was a very pleasant flight. The small premium economy cabin is very pleasant, and the A350 is a very nice aircraft. However it is unfortunate that the enhanced level of service expected in premium economy is not provided.",,
5186,Turkish Airlines,"Prague to Sharm el Sheikh via Istanbul. Overbooked flights, missed flight because plane left earlier than scheduled (b/c was oversold) and they cancelled the return ticket, so we ended up paying triple for buying two new tickets because the operator did not care to tell us and did not care. Customer service is a nightmare, barely understandable English, very rude and don't care about the customers at all. Spoiled holiday.",,
3888,Emirates,"Tokyo to Zagreb via Dubai. I will never again fly with this airline, because of the luggage allowance and inflight service.  Normally airlines allow one piece of checked in luggage and one carry on when you fly intercontinental, and then they charge you per extra piece of luggage. But no Emirates allow only 30 kg checked in and 8 kg (1 piece only) carry on, everything extra is charged 100 USD per kg. Since I also had my backpack, I would only carry on that, and had to check in my two suitcases and one carry on.  The flight attendants kept talking out loud in the back of the plane (I was seated in the back so could hear them the entire time). Apart from serving meals, they rarely passed through the plane to see if passengers needed anything.",,
5445,Turkish Airlines,"Baku to Amsterdam via Istanbul. They still operate like a third world airline. Check in counter staff at the new airport was ignorant (when she finished my check in, she just left the boarding pass and my passport on the counter instead of handing them to me). I changed my seat the previous night when doing the online check in. When boarding the agent said I had the wrong seat and put me back at my old seat. I asked why, and she said they changed plane. She just made that up.",,
6408,Air France,"Hamburg to Paris. Very nice flight! Staff was very friendly despite the early morning hour. Staffs languages (French, English, German, Spanish) were openly announced. Aircraft had Wifi based entertainment on board running in the browser, surprisingly large movie selection. Onboard internet was available, messaging for free!!, other options were reasonable priced. French Breakfast was served (aka Croissants), with some very nice Lavazza Coffee. During the early morning flights the lights were kept turned off so wanting to find some sleep was very easy. All in all a really surprisingly decent short haul flight!",,
5652,Turkish Airlines,"Well, the flight from Kayseri was supposed to leave at 14:40 but was delayed untill 20:00. Some part of the ventilation system, I think, was not working. They kept us on the plane for the first two hours. Since Istanbul is about an hour and a half of flying time away, it is beyond me why they didn't send a replacement plane, instead of having us waiting around until they managed to fix it. Well, money, obviously. But doesn't bad experiences and bad reviews hurt you longer in the long run!?",,
3629,Emirates,"My elderly mom was traveling from Nairobi to Dubai through Emirates, final destination was Dulles. I checked her in when I got the email and booked seats for her. But when she got at the counter today 07/12/2018 the assistant changed her seat. When my  mom asked why she said she owes her no explanation it is her right (attendant). Now I wonder how is it her right yet my mom paid over $1100 for the ticket. That was rude customer service. Emirates, work on customer service at your Nairobi airport .",,
2363,Qatar Airways,"Booked my travel with Qatar Airways in Economy class on 27 April 2017 and flew in both class as a surprise compliments. First sector from Muscat to Doha on an A320 an Economy full flight and Doha to Thiruvananthapuram (A321) surprisingly upgraded to Business Class. I had been traveling with Qatar Airways in Business Class, even the Economy class short sector flight (MCT-DOH) was a pleasant experience too. The second leg of my travel from DOH-TRV, Qatar Airways surprised me at the Boarding Gate with a Business Class upgrade and the inflight experience was a treat of Five Star. FAs dedicated their whole time taking care of passengers needs and this flight too was full. I compliment the whole team of this Flight for their efficiency and dedication. Food and drinks were served as you required and that too presented with care and polite attitude. Will keep flying with Qatar Airways!",,
